Ship_ID,Vessel_Name,Service,ETA,ATA,Berth,Side to,Next port of call,Ref,Delay,Size,Dwt,GT,Flag,Built,Month,Builder,Owner Group,Alternative_Fuel,SOx_Scrubber,Eco_Engine,Days_Before_ETA_Info
CMA CGM MEXICO - N33/N33,cma cgm mexico,NEU4E,2020-08-19 07:30:00,2020-08-19 11:30:00,SCT5,Starboard,"Le Havre, France",N33/N33,240.0,"15,052","156,656","149,314",Malta,2019.0,7.0,Hyundai Samho HI,Eastern Pacific Shpg,0,Fitted,Eco – Electronic Engine Modern,14.0
CMA CGM NERVAL - B02/B02,cma cgm nerval,FEMEX,2021-01-26 19:30:00,2021-02-03 07:39:00,SCT3,Starboard,"Rotterdam, Netherlands",B02/B02,10809.0,"6,554","83,319","72,884",Malta,2010.0,5.0,Sungdong SB,Danaos Shipping,0,0,0,12.0
CMA CGM OTELLO - J02/J02,cma cgm otello,EPIC,2021-02-16 19:00:00,2021-02-17 01:30:00,SCT3,Starboard,"Bremerhaven, Germany",J02/J02,390.0,"8,488","101,810","91,410",Registre International Francais,2005.0,11.0,Hyundai HI (Ulsan),CMA CGM,0,0,0,12.0
CMA CGM OTELLO - J09/J09,cma cgm otello,EPIC,2021-04-13 11:59:00,2021-04-15 01:20:00,SCT3,Starboard,"Bremerhaven, Germany",J09/J09,2241.0,"8,488","101,810","91,410",Registre International Francais,2005.0,11.0,Hyundai HI (Ulsan),CMA CGM,0,0,0,13.0
CMA CGM OTELLO - J18/J18,cma cgm otello,EPIC,2021-06-15 13:00:00,2021-06-15 12:40:00,SCT3,Starboard,"Bremerhaven, Germany",J18/J18,-20.0,"8,488","101,810","91,410",Registre International Francais,2005.0,11.0,Hyundai HI (Ulsan),CMA CGM,0,0,0,17.0
CMA CGM OTELLO - T26/U26,cma cgm otello,ATA,2020-07-11 07:30:00,2020-07-11 07:11:00,SCT2,Starboard,"Antwerpen, Belgium",T26/U26,-19.0,"8,488","101,810","91,410",Registre International Francais,2005.0,11.0,Hyundai HI (Ulsan),CMA CGM,0,0,0,7.0
CMA CGM SCANDOLA - M04/M04,cma cgm scandola,FAL3,2021-01-21 19:30:00,2021-01-30 12:10:00,SCT5,Starboard,"Rotterdam, Netherlands",M04/M04,12520.0,"14,812","154,700","150,844",Malta,2020.0,12.0,Hyundai Samho HI,Eastern Pacific Shpg,LNG,0,Eco – Electronic Engine Modern,12.0
CMA CGM TENERE - M15/M15,cma cgm tenere,FAL3,2021-04-14 19:00:00,2021-04-16 18:00:00,SCT2,Starboard,"Rotterdam, Netherlands",M15/M15,2820.0,"14,812","154,700","150,844",Malta,2020.0,9.0,Hyundai Samho HI,Eastern Pacific Shpg,LNG,0,Eco – Electronic Engine Modern,15.0
CMA CGM TENERE - M41/M41,cma cgm tenere,NEU4I,2020-10-25 23:59:00,2020-10-30 01:14:00,SCT5,Starboard,"Dunkerque, France",M41/M41,5835.0,"14,812","154,700","150,844",Malta,2020.0,9.0,Hyundai Samho HI,Eastern Pacific Shpg,LNG,0,Eco – Electronic Engine Modern,11.0
CMA CGM TENERE - N06/N06,cma cgm tenere,NEU4E,2021-02-05 07:00:00,2021-02-13 04:55:00,SCT5,Starboard,"Le Havre, France",N06/N06,11395.0,"14,812","154,700","150,844",Malta,2020.0,9.0,Hyundai Samho HI,Eastern Pacific Shpg,LNG,0,Eco – Electronic Engine Modern,16.0
CMA CGM TENERE - N44/N44,cma cgm tenere,NEU4E,2020-11-04 16:00:00,2020-11-11 21:15:00,SCT5,Starboard,"Le Havre, France",N44/N44,10395.0,"14,812","154,700","150,844",Malta,2020.0,9.0,Hyundai Samho HI,Eastern Pacific Shpg,LNG,0,Eco – Electronic Engine Modern,16.0
CMA CGM TOSCA - T10/U10,cma cgm tosca,ATA,2021-04-03 07:30:00,2021-04-08 23:00:00,SCT3,Starboard,"Antwerpen, Belgium",T10/U10,8130.0,"8,448","101,818","91,410",Registre International Francais,2005.0,12.0,Hyundai Samho HI,CMA CGM,0,0,0,14.0
CMA CGM TOSCA - T25/U25,cma cgm tosca,ATA,2021-07-31 07:30:00,2021-08-01 22:10:00,SCT2,Starboard,"Antwerpen, Belgium",T25/U25,2320.0,"8,448","101,818","91,410",Registre International Francais,2005.0,12.0,Hyundai Samho HI,CMA CGM,0,0,0,11.0
CMA CGM TOSCA - T30/U30,cma cgm tosca,ATA,2021-09-10 11:59:00,2021-09-22 15:00:00,SCT3,Starboard,"Antwerpen, Belgium",T30/U30,17461.0,"8,448","101,818","91,410",Registre International Francais,2005.0,12.0,Hyundai Samho HI,CMA CGM,0,0,0,16.0
CMA CGM TOSCA - T31/U31,cma cgm tosca,ATA,2020-08-15 07:30:00,2020-08-16 05:12:00,SCT2,Starboard,"Antwerpen, Belgium",T31/U31,1302.0,"8,448","101,818","91,410",Registre International Francais,2005.0,12.0,Hyundai Samho HI,CMA CGM,0,0,0,10.0
CMA CGM TOSCA - T46/U46,cma cgm tosca,ATA,2020-11-28 07:30:00,2020-12-06 03:08:00,SCT3,Starboard,"Antwerpen, Belgium",T46/U46,11258.0,"8,448","101,818","91,410",Registre International Francais,2005.0,12.0,Hyundai Samho HI,CMA CGM,0,0,0,13.0
CMA CGM VASCO DE GAMA - M11/M11,cma cgm vasco de gama,FAL3,2021-03-19 11:59:00,2021-03-18 05:03:00,SCT2,Starboard,"Rotterdam, Netherlands",M11/M11,-1856.0,"17,859","185,000","178,228",Malta,2015.0,7.0,Shanghai Waigaoqiao,CSSC,0,Fitted,Eco – Electronic Engine Modern,14.0
CMA CGM VASCO DE GAMA - M23/M23,cma cgm vasco de gama,FAL3,2021-06-12 07:30:00,2021-06-12 01:35:00,SCT2,Starboard,"Rotterdam, Netherlands",M23/M23,-355.0,"17,859","185,000","178,228",Malta,2015.0,7.0,Shanghai Waigaoqiao,CSSC,0,Fitted,Eco – Electronic Engine Modern,13.0
CMA CGM VASCO DE GAMA - M35/M35,cma cgm vasco de gama,FAL3,2021-09-06 19:30:00,2021-09-09 01:39:00,SCT2,Starboard,"Rotterdam, Netherlands",M35/M35,3249.0,"17,859","185,000","178,228",Malta,2015.0,7.0,Shanghai Waigaoqiao,CSSC,0,Fitted,Eco – Electronic Engine Modern,13.0
CMA CGM VASCO DE GAMA - M49/M49,cma cgm vasco de gama,NEU3,2020-12-20 07:00:00,2021-01-01 13:02:00,SCT5,Starboard,"Hamburg, Germany",M49/M49,17642.0,"17,859","185,000","178,228",Malta,2015.0,7.0,Shanghai Waigaoqiao,CSSC,0,Fitted,Eco – Electronic Engine Modern,35.0
CMA CGM WHITE SHARK - A01/A01,cma cgm white shark,LEVANT,2021-01-08 19:30:00,2021-01-07 15:10:00,SCT2,Starboard,"Rotterdam, Netherlands",A01/A01,-1700.0,"5,095","65,845","54,309",Malta,2007.0,4.0,Hyundai HI (Ulsan),CMA CGM,0,0,0,15.0
CMA CGM WHITE SHARK - A05/A05,cma cgm white shark,LEVANT,2021-02-13 07:30:00,2021-02-14 08:40:00,SCT3,Starboard,"Rotterdam, Netherlands",A05/A05,1510.0,"5,095","65,845","54,309",Malta,2007.0,4.0,Hyundai HI (Ulsan),CMA CGM,0,0,0,8.0
CMA CGM WHITE SHARK - A11/A11,cma cgm white shark,LEVANT,2021-03-19 23:59:00,2021-03-20 19:45:00,SCT3,Starboard,"Rotterdam, Netherlands",A11/A11,1186.0,"5,095","65,845","54,309",Malta,2007.0,4.0,Hyundai HI (Ulsan),CMA CGM,0,0,0,15.0
CMA CGM WHITE SHARK - A16/A16,cma cgm white shark,LEVANT,2021-04-28 19:30:00,2021-04-30 19:50:00,SCT3,Starboard,"Rotterdam, Netherlands",A16/A16,2900.0,"5,095","65,845","54,309",Malta,2007.0,4.0,Hyundai HI (Ulsan),CMA CGM,0,0,0,14.0
CMA CGM WHITE SHARK - A21/A21,cma cgm white shark,LEVANT,2021-06-03 19:30:00,2021-06-03 18:55:00,SCT2,Starboard,"Rotterdam, Netherlands",A21/A21,-35.0,"5,095","65,845","54,309",Malta,2007.0,4.0,Hyundai HI (Ulsan),CMA CGM,0,0,0,10.0
CMA CGM WHITE SHARK - A25/A25,cma cgm white shark,LEVANT,2021-07-09 22:00:00,2021-07-10 14:20:00,SCT2,Starboard,"Rotterdam, Netherlands",A25/A25,980.0,"5,095","65,845","54,309",Malta,2007.0,4.0,Hyundai HI (Ulsan),CMA CGM,0,0,0,15.0
CMA CGM ZHENG HE - M01/M01,cma cgm zheng he,NEU3,2021-01-03 07:00:00,2021-01-14 15:00:00,SCT5,Starboard,"Rotterdam, Netherlands",M01/M01,16320.0,"17,859","185,000","178,228",Malta,2015.0,9.0,Jiangnan Changxing,CSSC,0,Fitted,Eco – Electronic Engine Modern,14.0
CMA CGM ZHENG HE - M13/M13,cma cgm zheng he,FAL3,2021-03-31 19:00:00,2021-04-01 04:00:00,SCT2,Starboard,"Rotterdam, Netherlands",M13/M13,540.0,"17,859","185,000","178,228",Malta,2015.0,9.0,Jiangnan Changxing,CSSC,0,Fitted,Eco – Electronic Engine Modern,12.0
CMA CGM ZHENG HE - M27/M27,cma cgm zheng he,NEU4I,2020-07-18 19:00:00,2020-07-19 00:10:00,SCT5,Starboard,"Dunkerque, France",M27/M27,310.0,"17,859","185,000","178,228",Malta,2015.0,9.0,Jiangnan Changxing,CSSC,0,Fitted,Eco – Electronic Engine Modern,9.0
CMA CGM ZHENG HE - M39/M39,cma cgm zheng he,NEU4I,2020-10-10 19:00:00,2020-10-14 14:12:00,SCT5,Starboard,"Dunkerque, France",M39/M39,5472.0,"17,859","185,000","178,228",Malta,2015.0,9.0,Jiangnan Changxing,CSSC,0,Fitted,Eco – Electronic Engine Modern,16.0
CMA CGM ZHENG HE - N30/N30,cma cgm zheng he,NEU4E,2020-07-29 07:30:00,2020-07-29 06:47:00,SCT5,Starboard,"Le Havre, France",N30/N30,-43.0,"17,859","185,000","178,228",Malta,2015.0,9.0,Jiangnan Changxing,CSSC,0,Fitted,Eco – Electronic Engine Modern,14.0
CMA CGM ZHENG HE - N42/N42,cma cgm zheng he,NEU4E,2020-10-21 16:00:00,2020-10-22 12:05:00,SCT5,Starboard,"Le Havre, France",N42/N42,1205.0,"17,859","185,000","178,228",Malta,2015.0,9.0,Jiangnan Changxing,CSSC,0,Fitted,Eco – Electronic Engine Modern,12.0
CONMAR GULF - X27/X27,conmar gulf,ADHOC,2020-08-13 07:00:00,2020-08-14 06:00:00,SCT4,Starboard,"Liverpool, United Kingdom",X27/X27,1380.0,698,"8,400","7,545",Madeira,2007.0,10.0,Mawei SB (Mawei),Conmar Shipping,0,0,0,3.0
CONSTANTIA - O22/O22,constantia,AL2,2021-06-04 16:00:00,2021-06-04 06:30:00,SCT3,Starboard,"Rotterdam, Netherlands",O22/O22,-570.0,"4,620","57,500","48,799",Liberia,2013.0,5.0,Jiangnan Changxing,Hapag-Lloyd,0,0,Eco – Electronic Engine,11.0
CONTI CORTESIA - R23/S23,conti cortesia,IPAK,2021-06-07 19:30:00,2021-06-11 12:50:00,SCT2,Starboard,"Rotterdam, Netherlands",R23/S23,5360.0,"8,463","100,886","90,449",Madeira,2005.0,5.0,Samsung HI,Reederei C-P Offen,0,0,0,14.0
COSCO INDONESIA - X12/X12,cosco indonesia,ADHOC,2021-05-16 19:30:00,2021-05-17 02:52:00,SCT3,Starboard,"OPTIONAL,",X12/X12,442.0,"8,495","101,200","91,051",Hong Kong,2010.0,7.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,2.0
COSCO JAPAN - J17/J17,cosco japan,EPIC,2021-06-08 13:00:00,2021-06-10 15:10:00,SCT3,Starboard,"Bremerhaven, Germany",J17/J17,3010.0,"8,495","102,834","91,051",Hong Kong,2010.0,3.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,10.0
COSCO JAPAN - J25/J25,cosco japan,EPIC,2021-08-03 13:00:00,2021-08-04 18:00:00,SCT3,Starboard,"Bremerhaven, Germany",J25/J25,1740.0,"8,495","102,834","91,051",Hong Kong,2010.0,3.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,15.0
COSCO PHILIPPINES - T03/U03,cosco philippines,ATA,2021-02-06 07:30:00,2021-02-08 14:40:00,SCT3,Starboard,"Antwerpen, Belgium",T03/U03,3310.0,"8,495","101,200","91,051",Hong Kong,2010.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,12.0
COSCO PHILIPPINES - T08/U08,cosco philippines,ATA,2021-02-15 07:30:00,2021-03-29 01:00:00,SCT3,Starboard,"Antwerpen, Belgium",T08/U08,60090.0,"8,495","101,200","91,051",Hong Kong,2010.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,5.0
COSCO PHILIPPINES - T12/U12,cosco philippines,ATA,2021-04-27 07:30:00,2021-05-11 21:06:00,SCT3,Starboard,"Antwerpen, Belgium",T12/U12,20976.0,"8,495","101,200","91,051",Hong Kong,2010.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,12.0
COSCO PHILIPPINES - T17/U17,cosco philippines,ATA,2021-06-04 11:59:00,2021-06-09 19:00:00,SCT2,Starboard,"Antwerpen, Belgium",T17/U17,7621.0,"8,495","101,200","91,051",Hong Kong,2010.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,10.0
COSCO PHILIPPINES - T27/U27,cosco philippines,ATA,2021-08-21 07:30:00,2021-08-27 02:30:00,SCT2,Starboard,"Antwerpen, Belgium",T27/U27,8340.0,"8,495","101,200","91,051",Hong Kong,2010.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,11.0
COSCO PHILIPPINES - T29/U29,cosco philippines,ATA,2020-08-01 07:30:00,2020-08-01 05:03:00,SCT2,Starboard,"Antwerpen, Belgium",T29/U29,-147.0,"8,495","101,200","91,051",Hong Kong,2010.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,12.0
COSCO PHILIPPINES - T34/U34,cosco philippines,ATA,2020-09-05 07:30:00,2020-09-05 05:45:00,SCT3,Starboard,"Antwerpen, Belgium",T34/U34,-105.0,"8,495","101,200","91,051",Hong Kong,2010.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,11.0
COSCO PHILIPPINES - T39/U39,cosco philippines,ATA,2020-10-10 07:30:00,2020-10-09 22:22:00,SCT2,Starboard,"Antwerpen, Belgium",T39/U39,-548.0,"8,495","101,200","91,051",Hong Kong,2010.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,15.0
COSCO PHILIPPINES - T49/U49,cosco philippines,ATA,2020-12-19 07:30:00,2020-12-27 16:00:00,SCT3,Starboard,"Antwerpen, Belgium",T49/U49,12030.0,"8,495","101,200","91,051",Hong Kong,2010.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,34.0
COSCO VIETNAM - T01/U01,cosco vietnam,ATA,2021-01-30 19:30:00,2021-01-30 07:30:00,SCT3,Starboard,"Antwerpen, Belgium",T01/U01,-720.0,"8,495","102,875","91,051",Hong Kong,2011.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,11.0
COSCO VIETNAM - T27/U27,cosco vietnam,ATA,2020-07-18 07:30:00,2020-07-18 05:30:00,SCT2,Starboard,"Antwerpen, Belgium",T27/U27,-120.0,"8,495","102,875","91,051",Hong Kong,2011.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,8.0
COSCO VIETNAM - T32/U32,cosco vietnam,ATA,2020-08-22 07:30:00,2020-08-22 07:30:00,SCT2,Starboard,"Antwerpen, Belgium",T32/U32,0.0,"8,495","102,875","91,051",Hong Kong,2011.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,12.0
COSCO VIETNAM - T37/U37,cosco vietnam,ATA,2020-09-26 07:30:00,2020-09-26 08:10:00,SCT3,Starboard,"Antwerpen, Belgium",T37/U37,40.0,"8,495","102,875","91,051",Hong Kong,2011.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,11.0
COSCO VIETNAM - T42/U42,cosco vietnam,ATA,2020-10-31 07:30:00,2020-11-07 01:06:00,SCT2,Starboard,"Antwerpen, Belgium",T42/U42,9696.0,"8,495","102,875","91,051",Hong Kong,2011.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,16.0
COSCO VIETNAM - T47/U47,cosco vietnam,ATA,2020-12-05 07:30:00,2020-12-13 16:22:00,SCT3,Starboard,"Antwerpen, Belgium",T47/U47,12052.0,"8,495","102,875","91,051",Hong Kong,2011.0,4.0,Hyundai HI (Ulsan),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,20.0
CSL MANHATTAN - E04/F04,csl manhattan,FE4,2021-02-14 11:59:00,2021-02-26 07:30:00,SCT5,Starboard,"Hamburg, Germany",E04/F04,17011.0,"5,018","66,633","54,592",Liberia,2005.0,4.0,Hyundai Samho HI,Cyprus Maritime Co,0,0,0,15.0
ELBSKY - X29/X29,elbsky,ADHOC,2021-08-22 10:00:00,2021-08-22 11:30:00,SCT2,Starboard,"OPTIONAL,",X29/X29,90.0,"1,025","13,425","11,550",Antigua & Barbuda,2011.0,1.0,Mawei SB (Mawei),Elbdeich Reederei,0,0,0,2.0
ESPOIR - X04/X04,espoir,ADHOC,2021-01-25 23:59:00,2021-01-25 17:00:00,SCT1,Starboard,"OPTIONAL,",X04/X04,-419.0,"1,440","21,297","17,368",Netherlands,2011.0,4.0,Shuntian Shungao,JR Shipping BV,0,0,Eco – Electronic Engine,1.0
ESSENCE - X36/X36,essence,ADHOC,2020-09-20 07:30:00,2020-09-20 08:38:00,SCT3,Starboard,"Zeebrugge, Belgium",X36/X36,68.0,"1,440","21,297","17,368",Netherlands,2011.0,8.0,Shuntian Shungao,JR Shipping BV,0,0,Eco – Electronic Engine,0.0
EVER LASTING - T14/U14,ever lasting,ATA,2021-05-08 11:59:00,2021-05-08 10:26:00,SCT3,Starboard,"Antwerpen, Belgium",T14/U14,-93.0,"8,452","104,409","98,882",United Kingdom,2012.0,9.0,Samsung HI,Evergreen Marine,0,Fitted,Eco – Electronic Engine,13.0
EVER LASTING - T19/U19,ever lasting,ATA,2021-06-09 19:30:00,2021-06-18 12:19:00,SCT3,Starboard,"Antwerpen, Belgium",T19/U19,12529.0,"8,452","104,409","98,882",United Kingdom,2012.0,9.0,Samsung HI,Evergreen Marine,0,Fitted,Eco – Electronic Engine,11.0
EVER LASTING - T29/U29,ever lasting,ATA,2021-08-28 07:30:00,2021-09-08 19:44:00,SCT2,Starboard,"Antwerpen, Belgium",T29/U29,16574.0,"8,452","104,409","98,882",United Kingdom,2012.0,9.0,Samsung HI,Evergreen Marine,0,Fitted,Eco – Electronic Engine,13.0
EVER LASTING - T30/U30,ever lasting,ATA,2020-08-08 07:30:00,2020-08-07 12:39:00,SCT2,Starboard,"Antwerpen, Belgium",T30/U30,-1131.0,"8,452","104,409","98,882",United Kingdom,2012.0,9.0,Samsung HI,Evergreen Marine,0,Fitted,Eco – Electronic Engine,14.0
EVER LASTING - T35/U35,ever lasting,ATA,2020-09-12 07:31:00,2020-09-12 11:00:00,SCT3,Starboard,"Antwerpen, Belgium",T35/U35,209.0,"8,452","104,409","98,882",United Kingdom,2012.0,9.0,Samsung HI,Evergreen Marine,0,Fitted,Eco – Electronic Engine,13.0
EVER LASTING - T40/U40,ever lasting,ATA,2020-10-17 07:30:00,2020-10-17 06:30:00,SCT3,Starboard,"Antwerpen, Belgium",T40/U40,-60.0,"8,452","104,409","98,882",United Kingdom,2012.0,9.0,Samsung HI,Evergreen Marine,0,Fitted,Eco – Electronic Engine,12.0
EVER LASTING - T45/U45,ever lasting,ATA,2020-11-24 07:30:00,2020-11-26 17:00:00,SCT2,Starboard,"Antwerpen, Belgium",T45/U45,3450.0,"8,452","104,409","98,882",United Kingdom,2012.0,9.0,Samsung HI,Evergreen Marine,0,Fitted,Eco – Electronic Engine,14.0
EVER LASTING - T50/U50,ever lasting,ATA,2020-12-26 07:30:00,2021-01-12 21:05:00,SCT3,Starboard,"Antwerpen, Belgium",T50/U50,25295.0,"8,452","104,409","98,882",United Kingdom,2012.0,9.0,Samsung HI,Evergreen Marine,0,Fitted,Eco – Electronic Engine,41.0
EXPRESS BERLIN - E24/F24,express berlin,FE4,2020-10-10 19:30:00,2020-10-20 14:30:00,SCT2,Starboard,"Hamburg, Germany",E24/F24,14100.0,"10,114","121,960","114,400",Greece,2011.0,2.0,Hyundai Samho HI,Danaos Shipping,0,0,Eco – Electronic Engine,16.0
GERHARD SCHULTE - V37/W37,gerhard schulte,GEX2,2020-09-29 07:00:00,2020-09-29 21:46:00,SCT3,Starboard,"Antwerpen, Belgium",V37/W37,886.0,"3,534","42,083","35,991",Hong Kong,2006.0,8.0,Shanghai Chengxi,Thomas Schulte,0,0,0,9.0
GERHARD SCHULTE - V41/W41,gerhard schulte,GEX2,2020-10-27 07:00:00,2020-10-27 11:58:00,SCT3,Starboard,"Antwerpen, Belgium",V41/W41,298.0,"3,534","42,083","35,991",Hong Kong,2006.0,8.0,Shanghai Chengxi,Thomas Schulte,0,0,0,12.0
GERHARD SCHULTE - X50/X50,gerhard schulte,ADHOC,2020-12-09 07:30:00,2020-12-08 16:00:00,SCT2,Starboard,"OPTIONAL,",X50/X50,-930.0,"3,534","42,083","35,991",Hong Kong,2006.0,8.0,Shanghai Chengxi,Thomas Schulte,0,0,0,14.0
GREETJE - 27C/27C,greetje,ISX4,2020-07-07 19:30:00,2020-07-07 19:42:00,SCT3,Starboard,"Cork, Ireland",27C/27C,12.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,4.0
GREETJE - 28C/28C,greetje,ISX4,2020-07-14 14:00:00,2020-07-15 22:28:00,SCT3,Starboard,"Cork, Ireland",28C/28C,1948.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,11.0
GREETJE - 29A/29A,greetje,ISX3A,2020-09-21 19:30:00,2020-09-21 15:39:00,SCT4,Starboard,"Belfast, United Kingdom",29A/29A,-231.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,2.0
GREETJE - 29C/29C,greetje,ISX4,2020-07-21 22:00:00,2020-07-21 19:06:00,SCT3,Starboard,"Cork, Ireland",29C/29C,-174.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,12.0
GREETJE - 30A/30A,greetje,ISX3A,2020-10-02 07:30:00,2020-10-03 15:20:00,SCT4,Starboard,"Belfast, United Kingdom",30A/30A,1910.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,12.0
GREETJE - 30C/30C,greetje,ISX4,2020-07-28 19:30:00,2020-07-28 06:45:00,SCT3,Starboard,"Cork, Ireland",30C/30C,-765.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,14.0
GREETJE - 31A/31A,greetje,ISX3A,2020-10-08 19:30:00,2020-10-11 12:45:00,SCT4,Starboard,"Belfast, United Kingdom",31A/31A,3915.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,14.0
GREETJE - 31C/31C,greetje,ISX4,2020-08-04 19:30:00,2020-08-05 03:30:00,SCT4,Starboard,"Cork, Ireland",31C/31C,480.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,11.0
GREETJE - 32A/32A,greetje,ISX3A,2020-10-17 07:30:00,2020-10-19 05:05:00,SCT4,Starboard,"Belfast, United Kingdom",32A/32A,2735.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,12.0
GREETJE - 32C/32C,greetje,ISX4,2020-08-11 19:30:00,2020-08-12 01:47:00,SCT4,Starboard,"Cork, Ireland",32C/32C,377.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,18.0
GREETJE - 33A/33A,greetje,ISX3A,2020-10-24 19:30:00,2020-11-01 01:36:00,SCT3,Starboard,"Belfast, United Kingdom",33A/33A,10446.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,10.0
GREETJE - 33C/33C,greetje,ISX4,2020-08-18 19:00:00,2020-08-19 21:20:00,SCT3,Starboard,"Cork, Ireland",33C/33C,1580.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,4.0
GREETJE - 34A/34A,greetje,ISX3A,2020-10-31 07:30:00,2020-11-09 15:00:00,SCT4,Starboard,"Belfast, United Kingdom",34A/34A,13410.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,16.0
GREETJE - 34C/34C,greetje,ISX4,2020-08-25 19:00:00,2020-08-28 05:25:00,SCT3,Starboard,"Cork, Ireland",34C/34C,3505.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,11.0
GREETJE - 35A/35A,greetje,ISX3A,2020-11-08 19:30:00,2020-11-17 23:45:00,SCT4,Starboard,"Belfast, United Kingdom",35A/35A,13215.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,15.0
GREETJE - 35C/35C,greetje,ISX4,2020-09-02 07:00:00,2020-09-04 07:30:00,SCT4,Starboard,"Cork, Ireland",35C/35C,2910.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,8.0
GREETJE - 36A/36A,greetje,ISX3A,2020-11-23 07:30:00,2020-11-27 07:37:00,SCT4,Starboard,"Belfast, United Kingdom",36A/36A,5767.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,13.0
GREETJE - 38D/38D,greetje,ISX5,2020-09-09 07:30:00,2020-09-10 07:05:00,SCT4,Starboard,"Dublin, Ireland",38D/38D,1415.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,10.0
GREETJE - 39D/39D,greetje,ISX5,2020-09-14 07:30:00,2020-09-15 08:10:00,SCT4,Starboard,"Dublin, Ireland",39D/39D,1480.0,658,"6,650","5,056",Netherlands,1998.0,9.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,15.0
HELGA - 01D/01D,helga,ISX5,2021-01-04 07:00:00,2021-01-04 13:00:00,SCT1,Starboard,"Dublin, Ireland",01D/01D,360.0,822,"8,622","7,519",Netherlands,2003.0,5.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,15.0
HELGA - 02D/02D,helga,ISX5,2021-01-11 19:30:00,2021-01-12 13:35:00,SCT1,Starboard,"Dublin, Ireland",02D/02D,1085.0,822,"8,622","7,519",Netherlands,2003.0,5.0,J. J. Sietas,Holwerda Shipmgmt,0,0,0,13.0
