Ship_ID,Vessel Name,Service,Phase,ETA,ATA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Delay
APL CHANGI - M31/M31,APL CHANGI,FAL3,ARRIVED,2021-08-04 19:30:00,2021-08-07 01:26:00,SCT2,Starboard,2021-08-07 19:30:00,"Rotterdam, Netherlands",M31/M31,2021-07-20 00:00:00,2896,3236.0
APL CHONGQING - J03/J03,APL CHONGQING,EPIC,ARRIVED,2021-02-23 19:00:00,2021-02-24 21:30:00,SCT3,Starboard,2021-02-24 11:59:00,"Bremerhaven, Germany",J03/J03,2021-02-10 00:00:00,911,1590.0
APL CHONGQING - J10/J10,APL CHONGQING,EPIC,ARRIVED,2021-04-20 12:00:00,2021-04-24 00:10:00,SCT3,Starboard,2021-04-21 07:30:00,"Bremerhaven, Germany",J10/J10,2021-04-05 00:00:00,234,5050.0
APL FULLERTON - M12/M12,APL FULLERTON,FAL3,ARRIVED,2021-03-24 19:30:00,2021-03-25 02:50:00,SCT2,Starboard,2021-03-27 19:30:00,"Rotterdam, Netherlands",M12/M12,2021-03-10 00:00:00,984,440.0
APL FULLERTON - M24/M24,APL FULLERTON,FAL3,ARRIVED,2021-06-16 19:30:00,2021-06-18 10:06:00,SCT2,Starboard,2021-06-19 19:30:00,"Rotterdam, Netherlands",M24/M24,2021-05-30 00:00:00,4405,2316.0
APL FULLERTON - M34/M34,APL FULLERTON,FAL3,ARRIVED,2021-08-25 19:30:00,2021-08-28 17:20:00,SCT2,Starboard,2021-08-28 19:30:00,"Rotterdam, Netherlands",M34/M34,2021-08-10 00:00:00,1337,4190.0
APL FULLERTON - M50/M50,APL FULLERTON,NEU3,ARRIVED,2020-12-27 07:00:00,2021-01-08 21:00:00,SCT5,Starboard,2020-12-29 07:00:00,"Hamburg, Germany",M50/M50,2020-11-15 00:00:00,2367,18120.0
APL LION CITY - M07/M07,APL LION CITY,FAL3,ARRIVED,2021-02-19 23:59:00,2021-02-19 18:30:00,SCT2,Starboard,2021-02-22 19:30:00,"Rotterdam, Netherlands",M07/M07,2021-02-05 00:00:00,130,-329.0
APL LION CITY - M19/M19,APL LION CITY,FAL3,ARRIVED,2021-05-11 11:59:00,2021-05-13 03:23:00,SCT2,Starboard,2021-05-14 19:30:00,"Rotterdam, Netherlands",M19/M19,2021-04-30 00:00:00,4287,2364.0
APL LION CITY - M30/M30,APL LION CITY,FAL3,ARRIVED,2021-07-28 19:30:00,2021-08-03 16:55:00,SCT2,Starboard,2021-07-31 19:30:00,"Rotterdam, Netherlands",M30/M30,2021-07-15 00:00:00,2043,8485.0
APL MERLION - M03/M03,APL MERLION,FAL3,ARRIVED,2021-01-24 07:30:00,2021-02-01 15:57:00,SCT5,Starboard,2021-01-26 07:30:00,"Rotterdam, Netherlands",M03/M03,2021-01-10 00:00:00,898,12027.0
APL MERLION - M16/M16,APL MERLION,FAL3,ARRIVED,2021-04-23 07:30:00,2021-04-21 19:30:00,SCT2,Starboard,2021-04-26 07:30:00,"Rotterdam, Netherlands",M16/M16,2021-04-10 00:00:00,1046,-2160.0
APL MERLION - M27/M27,APL MERLION,FAL3,ARRIVED,2021-07-12 19:30:00,2021-07-14 18:20:00,SCT2,Starboard,2021-07-15 19:30:00,"Rotterdam, Netherlands",M27/M27,2021-06-30 00:00:00,4438,2810.0
APL MERLION - M38/M38,APL MERLION,FAL3,ARRIVED,2021-09-26 07:00:00,2021-09-28 02:00:00,SCT2,Starboard,2021-09-29 07:00:00,"Rotterdam, Netherlands",M38/M38,2021-09-15 00:00:00,2230,2580.0
APL NEW YORK - J01/J01,APL NEW YORK,EPIC,ARRIVED,2021-02-09 19:00:00,2021-02-22 03:30:00,SCT3,Starboard,2021-02-10 07:00:00,"Bremerhaven, Germany",J01/J01,2021-01-25 00:00:00,3348,17790.0
APL NEW YORK - J16/J16,APL NEW YORK,EPIC,ARRIVED,2021-06-02 10:00:00,2021-06-01 13:20:00,SCT3,Starboard,2021-06-03 04:00:00,"Bremerhaven, Germany",J16/J16,2021-05-20 00:00:00,2731,-1240.0
APL NEW YORK - J24/J24,APL NEW YORK,EPIC,ARRIVED,2021-07-27 13:00:00,2021-07-27 12:32:00,SCT2,Starboard,2021-07-28 07:30:00,"Bremerhaven, Germany",J24/J24,2021-07-15 00:00:00,2023,-28.0
APL NEW YORK - J32/J32,APL NEW YORK,EPIC,ARRIVED,2021-09-28 13:00:00,2021-09-28 19:40:00,SCT3,Starboard,2021-09-29 07:30:00,"Bremerhaven, Germany",J32/J32,2021-09-15 00:00:00,2242,400.0
APL NEW YORK - R34/S34,APL NEW YORK,EPIC1,ARRIVED,2020-08-24 19:30:00,2020-08-26 18:30:00,SCT2,Starboard,2020-08-25 07:30:00,"Rotterdam, Netherlands",R34/S34,2020-08-10 00:00:00,1311,2820.0
APL NEW YORK - R42/S42,APL NEW YORK,EPIC1,ARRIVED,2020-10-19 19:01:00,2020-10-19 20:50:00,SCT3,Starboard,2020-10-20 07:00:00,"Rotterdam, Netherlands",R42/S42,2020-10-05 00:00:00,641,109.0
APL NEW YORK - R50/S50,APL NEW YORK,EPIC1,ARRIVED,2020-12-14 19:00:00,2020-12-14 20:50:00,SCT3,Starboard,2020-12-15 07:00:00,"Rotterdam, Netherlands",R50/S50,2020-11-15 00:00:00,2364,110.0
APL RAFFLES - M26/M26,APL RAFFLES,NEU4I,ARRIVED,2020-07-13 19:00:00,2020-07-14 07:47:00,SCT5,Starboard,2020-07-15 19:00:00,"Dunkerque, France",M26/M26,2020-07-04 00:00:00,13,767.0
APL RAFFLES - M38/M38,APL RAFFLES,NEU4I,ARRIVED,2020-10-03 19:00:00,2020-10-10 19:00:00,SCT5,Starboard,2020-10-05 19:00:00,"Dunkerque, France",M38/M38,2020-09-20 00:00:00,3046,10080.0
APL RAFFLES - N02/N02,APL RAFFLES,NEU4E,ARRIVED,2021-01-08 07:30:00,2021-01-11 14:25:00,SCT3,Starboard,2021-01-10 07:30:00,"Le Havre, France",N02/N02,2020-12-25 00:00:00,4149,4735.0
APL RAFFLES - N29/N29,APL RAFFLES,NEU4E,ARRIVED,2020-07-23 19:00:00,2020-07-24 02:13:00,SCT2,Starboard,2020-07-25 07:30:00,"Le Havre, France",N29/N29,2020-07-15 00:00:00,1961,433.0
APL SINGAPURA - M10/M10,APL SINGAPURA,FAL3,ARRIVED,2021-03-14 19:30:00,2021-03-15 16:16:00,SCT2,Starboard,2021-03-18 19:30:00,"Rotterdam, Netherlands",M10/M10,2021-02-28 00:00:00,4176,1246.0
APL SINGAPURA - M22/M22,APL SINGAPURA,FAL3,ARRIVED,2021-06-08 23:59:00,2021-06-05 23:30:00,SCT2,Starboard,2021-06-11 19:30:00,"Rotterdam, Netherlands",M22/M22,2021-05-30 00:00:00,4390,-4349.0
APL SINGAPURA - M33/M33,APL SINGAPURA,FAL3,ARRIVED,2021-08-24 16:00:00,2021-09-03 00:20:00,SCT2,Starboard,2021-08-28 07:30:00,"Rotterdam, Netherlands",M33/M33,2021-08-10 00:00:00,1330,13460.0
APL SINGAPURA - M48/M48,APL SINGAPURA,NEU3,ARRIVED,2020-12-13 07:00:00,2020-12-14 14:28:00,SCT5,Starboard,2020-12-15 07:00:00,"Hamburg, Germany",M48/M48,2020-11-15 00:00:00,2350,1888.0
APL TEMASEK - M06/M06,APL TEMASEK,FAL3,ARRIVED,2021-02-07 07:00:00,2021-02-15 14:15:00,SCT5,Starboard,2021-02-09 07:00:00,"Rotterdam, Netherlands",M06/M06,2021-01-25 00:00:00,3344,11955.0
APL VANDA - M09/M09,APL VANDA,FAL3,ARRIVED,2021-03-05 07:30:00,2021-03-06 20:00:00,SCT2,Starboard,2021-03-07 23:59:00,"Rotterdam, Netherlands",M09/M09,2021-02-20 00:00:00,2532,2190.0
APL VANDA - M21/M21,APL VANDA,FAL3,ARRIVED,2021-05-30 23:59:00,2021-06-08 07:58:00,SCT2,Starboard,2021-06-02 23:59:00,"Rotterdam, Netherlands",M21/M21,2021-05-15 00:00:00,1862,11999.0
