Ship_ID,Vessel_Name,Service,ETA,ATA,Berth,Side,NextPort,Delay,Size,Dwt,GT,Flag,Built_Year,Built_Month,Builder,Owner,Alternative_Fuel,SOx_Scrubber,Eco_Engine,Days_Before_ETA_Info,ETA_Year,ETA_Month,ETA_Day,ETA_Weekday,ETA_Hour,date,new_cases
AMERICA - R35/S35,america,EPIC1,2020-35,2020-09-03 03:10:00,SCT3,Starboard,Rotterdam,3340.0,8468,101612,90645,Cyprus,2004,11,Samsung HI,Danaos Shipping,0,1,0,12.0,2020,8,31,0,19,2020-35,12832.0
AMERICA - R43/S43,america,EPIC1,2020-43,2020-10-27 02:15:00,SCT3,Starboard,Rotterdam,434.0,8468,101612,90645,Cyprus,2004,11,Samsung HI,Danaos Shipping,0,1,0,12.0,2020,10,26,0,19,2020-43,161214.0
ANGELA - 59A/59A,angela,ISX3,2021-36,2021-09-08 11:32:00,SCT4,Starboard,Rotterdam,1682.0,862,11403,9962,Gibraltar,2005,12,J. J. Sietas,Mikkel Myklebusthaug,0,0,0,13.0,2021,9,7,1,7,2021-36,249212.0
ANGELA - 64A/64A,angela,ISX3,2021-38,2021-09-21 09:25:00,SCT4,Starboard,Rotterdam,835.0,862,11403,9962,Gibraltar,2005,12,J. J. Sietas,Mikkel Myklebusthaug,0,0,0,16.0,2021,9,20,0,19,2021-38,235567.0
ANGELA - X28/X28,angela,ADHOC,2020-33,2020-08-21 19:30:00,SCT2,Starboard,OPTIONAL,30.0,862,11403,9962,Gibraltar,2005,12,J. J. Sietas,Mikkel Myklebusthaug,0,0,0,2.0,2020,8,21,4,19,2020-33,7300.0
ANTON SCHULTE - R33/S33,anton schulte,IPAK,2021-33,2021-08-21 00:40:00,SCT3,Starboard,Rotterdam,6070.0,7241,90443,75582,Malta,2009,9,Hyundai HI (Ulsan),Schulte Group,0,0,0,12.0,2021,8,16,0,19,2021-33,226406.0
APL CHANGI - M08/M08,apl changi,FAL3,2021-08,2021-02-27 00:29:00,SCT2,Starboard,Rotterdam,-421.0,17292,177380,166253,Singapore,2013,6,Hyundai Samho HI,CMA CGM,0,1,1,12.0,2021,2,27,5,7,2021-08,61249.0
APL CHANGI - M20/M20,apl changi,FAL3,2021-21,2021-05-28 15:14:00,SCT2,Starboard,Rotterdam,1184.0,17292,177380,166253,Singapore,2013,6,Hyundai Samho HI,CMA CGM,0,1,1,13.0,2021,5,27,3,19,2021-21,21547.0
APL CHANGI - M31/M31,apl changi,FAL3,2021-31,2021-08-07 01:26:00,SCT2,Starboard,Rotterdam,3236.0,17292,177380,166253,Singapore,2013,6,Hyundai Samho HI,CMA CGM,0,1,1,16.0,2021,8,4,2,19,2021-31,190523.0
APL CHONGQING - J03/J03,apl chongqing,EPIC,2021-08,2021-02-24 21:30:00,SCT3,Starboard,Bremerhaven,1590.0,10106,122200,113735,Singapore,2011,12,Hyundai HI (Ulsan),CMA CGM,0,0,1,14.0,2021,2,23,1,19,2021-08,61249.0
