Vessel Name,Service,Phase,ETA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Ship_ID
AL SAFAT,AL2,INBOUND,2021-07-24 07:31:00,SCT3,Starboard,2021-07-24 19:30:00,"Le Havre, France",O29/O29,2021-07-10 00:00:00,1250,AL SAFAT - O29/O29
AL SAFAT,AL2,ARRIVED,2021-07-24 02:52:00,SCT2,Starboard,2021-07-24 19:04:00,"Le Havre, France",O29/O29,2021-07-25 00:00:00,3759,AL SAFAT - O29/O29
AL SAFAT,AL2,INBOUND,2021-08-28 07:30:00,SCT3,Starboard,2021-08-29 03:00:00,"Le Havre, France",O34/O34,2021-08-15 00:00:00,2141,AL SAFAT - O34/O34
AL SAFAT,AL2,ARRIVED,2021-08-30 06:30:00,SCT3,Portside,2021-08-31 04:00:00,"Le Havre, France",O34/O34,2021-08-30 00:00:00,4661,AL SAFAT - O34/O34
AL ZUBARA,FE2,INBOUND,2021-03-22 11:59:00,SCT5,Starboard,2021-03-26 19:00:00,"Hamburg, Germany",C08/D08,2021-03-10 00:00:00,1019,AL ZUBARA - C08/D08
AL ZUBARA,FE2,ARRIVED,2021-03-28 15:40:00,SCT5,Starboard,2021-03-31 16:00:00,"Hamburg, Germany",C08/D08,2021-03-31 00:00:00,4978,AL ZUBARA - C08/D08
AL ZUBARA,FE2,INBOUND,2021-07-01 19:30:00,SCT5,Starboard,2021-07-04 07:30:00,"Hamburg, Germany",C21/D21,2021-06-15 00:00:00,1915,AL ZUBARA - C21/D21
AL ZUBARA,FE2,ARRIVED,2021-07-01 06:30:00,SCT5,Starboard,2021-07-03 19:26:00,"Hamburg, Germany",C21/D21,2021-07-05 00:00:00,375,AL ZUBARA - C21/D21
AL ZUBARA,FE2,INBOUND,2020-08-13 19:00:00,SCT5,Starboard,2020-08-15 19:00:00,"Hamburg, Germany",C27/D27,2020-07-30 00:00:00,4514,AL ZUBARA - C27/D27
AL ZUBARA,FE2,ARRIVED,2020-08-14 01:30:00,SCT5,Starboard,2020-08-16 02:00:00,"Hamburg, Germany",C27/D27,2020-08-15 00:00:00,2086,AL ZUBARA - C27/D27
AL ZUBARA,FE4,INBOUND,2020-11-20 10:00:00,SCT5,Starboard,2020-11-21 16:00:00,"Hamburg, Germany",E26/F26,2020-11-05 00:00:00,781,AL ZUBARA - E26/F26
AL ZUBARA,FE4,ARRIVED,2020-11-24 08:30:00,SCT5,Starboard,2020-11-27 04:00:00,"Hamburg, Germany",E26/F26,2020-11-25 00:00:00,4108,AL ZUBARA - E26/F26
ALDEBARAN J,ADHOC,INBOUND,2020-10-28 07:30:00,SCT2,Starboard,2020-10-29 07:30:00,"OPTIONAL,",X44/X44,2020-10-25 00:00:00,4037,ALDEBARAN J - X44/X44
ALDEBARAN J,ADHOC,ARRIVED,2020-10-28 14:50:00,SCT2,Starboard,2020-10-29 22:04:00,"OPTIONAL,",X44/X44,2020-10-30 00:00:00,4809,ALDEBARAN J - X44/X44
AMERICA,EPIC1,INBOUND,2020-08-31 19:30:00,SCT3,Starboard,2020-09-01 07:30:00,"Rotterdam, Netherlands",R35/S35,2020-08-20 00:00:00,2946,AMERICA - R35/S35
AMERICA,EPIC1,ARRIVED,2020-09-03 03:10:00,SCT3,Starboard,2020-09-04 16:41:00,"Rotterdam, Netherlands",R35/S35,2020-09-05 00:00:00,545,AMERICA - R35/S35
AMERICA,EPIC1,INBOUND,2020-10-26 19:01:00,SCT3,Starboard,2020-10-27 07:00:00,"Rotterdam, Netherlands",R43/S43,2020-10-15 00:00:00,2263,AMERICA - R43/S43
AMERICA,EPIC1,ARRIVED,2020-10-27 02:15:00,SCT1,Starboard,2020-10-28 12:16:00,"Rotterdam, Netherlands",R43/S43,2020-10-30 00:00:00,4814,AMERICA - R43/S43
ANGELA,ISX3,INBOUND,2021-09-07 07:30:00,SCT4,Starboard,2021-09-08 07:30:00,"Rotterdam, Netherlands",59A/59A,2021-08-25 00:00:00,3852,ANGELA - 59A/59A
ANGELA,ISX3,ARRIVED,2021-09-08 11:32:00,SCT4,Portside,2021-09-08 19:10:00,"Rotterdam, Netherlands",59A/59A,2021-09-10 00:00:00,1429,ANGELA - 59A/59A
ANGELA,ISX3,INBOUND,2021-09-20 19:30:00,SCT4,Starboard,2021-09-21 19:30:00,"Rotterdam, Netherlands",64A/64A,2021-09-05 00:00:00,637,ANGELA - 64A/64A
ANGELA,ISX3,ARRIVED,2021-09-21 09:25:00,SCT4,Starboard,2021-09-21 13:55:00,"Rotterdam, Netherlands",64A/64A,2021-09-25 00:00:00,3973,ANGELA - 64A/64A
ANGELA,ADHOC,INBOUND,2020-08-21 19:00:00,SCT2,Starboard,2020-08-22 07:00:00,"OPTIONAL,",X28/X28,2020-08-20 00:00:00,2969,ANGELA - X28/X28
ANGELA,ADHOC,ARRIVED,2020-08-21 19:30:00,SCT3,Starboard,2020-08-22 08:50:00,"OPTIONAL,",X28/X28,2020-08-25 00:00:00,3815,ANGELA - X28/X28
ANTON SCHULTE,IPAK,INBOUND,2021-08-16 19:30:00,SCT3,Starboard,2021-08-17 07:30:00,"Rotterdam, Netherlands",R33/S33,2021-08-05 00:00:00,493,ANTON SCHULTE - R33/S33
ANTON SCHULTE,IPAK,ARRIVED,2021-08-21 00:40:00,SCT3,Starboard,2021-08-21 13:04:00,"Rotterdam, Netherlands",R33/S33,2021-08-25 00:00:00,3892,ANTON SCHULTE - R33/S33
APL CHANGI,FAL3,INBOUND,2021-02-27 07:30:00,SCT2,Starboard,2021-03-01 19:30:00,"Rotterdam, Netherlands",M08/M08,2021-02-15 00:00:00,1700,APL CHANGI - M08/M08
APL CHANGI,FAL3,ARRIVED,2021-02-27 00:29:00,SCT2,Starboard,2021-03-01 19:00:00,"Rotterdam, Netherlands",M08/M08,2021-02-28 00:00:00,4210,APL CHANGI - M08/M08
APL CHANGI,FAL3,INBOUND,2021-05-27 19:30:00,SCT2,Starboard,2021-05-29 19:30:00,"Rotterdam, Netherlands",M20/M20,2021-05-15 00:00:00,1866,APL CHANGI - M20/M20
APL CHANGI,FAL3,ARRIVED,2021-05-28 15:14:00,SCT2,Starboard,2021-05-30 23:59:00,"Rotterdam, Netherlands",M20/M20,2021-05-30 00:00:00,4372,APL CHANGI - M20/M20
APL CHANGI,FAL3,INBOUND,2021-08-04 19:30:00,SCT2,Starboard,2021-08-07 19:30:00,"Rotterdam, Netherlands",M31/M31,2021-07-20 00:00:00,2896,APL CHANGI - M31/M31
APL CHANGI,FAL3,ARRIVED,2021-08-07 01:26:00,SCT2,Starboard,2021-08-09 12:30:00,"Rotterdam, Netherlands",M31/M31,2021-08-10 00:00:00,1339,APL CHANGI - M31/M31
APL CHONGQING,EPIC,INBOUND,2021-02-23 19:00:00,SCT3,Starboard,2021-02-24 11:59:00,"Bremerhaven, Germany",J03/J03,2021-02-10 00:00:00,911,APL CHONGQING - J03/J03
APL CHONGQING,EPIC,ARRIVED,2021-02-24 21:30:00,SCT3,Starboard,2021-02-25 22:15:00,"Bremerhaven, Germany",J03/J03,2021-02-25 00:00:00,3412,APL CHONGQING - J03/J03
APL CHONGQING,EPIC,INBOUND,2021-04-20 12:00:00,SCT3,Starboard,2021-04-21 07:30:00,"Bremerhaven, Germany",J10/J10,2021-04-05 00:00:00,234,APL CHONGQING - J10/J10
APL CHONGQING,EPIC,ARRIVED,2021-04-24 00:10:00,SCT2,Starboard,2021-04-25 00:15:00,"Bremerhaven, Germany",J10/J10,2021-04-25 00:00:00,3499,APL CHONGQING - J10/J10
APL FULLERTON,FAL3,INBOUND,2021-03-24 19:30:00,SCT2,Starboard,2021-03-27 19:30:00,"Rotterdam, Netherlands",M12/M12,2021-03-10 00:00:00,984,APL FULLERTON - M12/M12
APL FULLERTON,FAL3,ARRIVED,2021-03-25 02:50:00,SCT5,Starboard,2021-03-27 07:30:00,"Rotterdam, Netherlands",M12/M12,2021-03-25 00:00:00,3421,APL FULLERTON - M12/M12
APL FULLERTON,FAL3,INBOUND,2021-06-16 19:30:00,SCT2,Starboard,2021-06-19 19:30:00,"Rotterdam, Netherlands",M24/M24,2021-05-30 00:00:00,4405,APL FULLERTON - M24/M24
APL FULLERTON,FAL3,ARRIVED,2021-06-18 10:06:00,SCT2,Starboard,2021-06-20 19:30:00,"Rotterdam, Netherlands",M24/M24,2021-06-20 00:00:00,2783,APL FULLERTON - M24/M24
APL FULLERTON,FAL3,INBOUND,2021-08-25 19:30:00,SCT2,Starboard,2021-08-28 19:30:00,"Rotterdam, Netherlands",M34/M34,2021-08-10 00:00:00,1337,APL FULLERTON - M34/M34
