Vessel Name,Service,Phase,ETA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Ship_ID
CMA CGM ZHENG HE,NEU3,INBOUND,2021-01-03 07:00:00,SCT5,Starboard,2021-01-05 07:00:00,"Rotterdam, Netherlands",M01/M01,2020-12-20 00:00:00,3285,CMA CGM ZHENG HE - M01/M01
CMA CGM ZHENG HE,FAL3,ARRIVED,2021-01-14 15:00:00,SCT5,Starboard,2021-01-17 07:00:00,"Rotterdam, Netherlands",M01/M01,2021-01-15 00:00:00,1659,CMA CGM ZHENG HE - M01/M01
CMA CGM ZHENG HE,FAL3,INBOUND,2021-03-31 19:00:00,SCT2,Starboard,2021-04-03 19:00:00,"Rotterdam, Netherlands",M13/M13,2021-03-20 00:00:00,2623,CMA CGM ZHENG HE - M13/M13
CMA CGM ZHENG HE,FAL3,ARRIVED,2021-04-01 04:00:00,SCT5,Starboard,2021-04-03 13:45:00,"Rotterdam, Netherlands",M13/M13,2021-04-05 00:00:00,246,CMA CGM ZHENG HE - M13/M13
CMA CGM ZHENG HE,NEU4I,INBOUND,2020-07-18 19:00:00,SCT5,Starboard,2020-07-20 19:00:00,"Dunkerque, France",M27/M27,2020-07-10 00:00:00,1190,CMA CGM ZHENG HE - M27/M27
CMA CGM ZHENG HE,NEU4I,ARRIVED,2020-07-19 00:10:00,SCT5,Starboard,2020-07-20 19:00:00,"Dunkerque, France",M27/M27,2020-07-20 00:00:00,2835,CMA CGM ZHENG HE - M27/M27
CMA CGM ZHENG HE,NEU4I,INBOUND,2020-10-10 19:00:00,SCT5,Starboard,2020-10-12 19:00:00,"Dunkerque, France",M39/M39,2020-09-25 00:00:00,3953,CMA CGM ZHENG HE - M39/M39
CMA CGM ZHENG HE,NEU4I,ARRIVED,2020-10-14 14:12:00,SCT5,Starboard,2020-10-17 07:30:00,"Dunkerque, France",M39/M39,2020-10-15 00:00:00,2302,CMA CGM ZHENG HE - M39/M39
CMA CGM ZHENG HE,NEU4E,INBOUND,2020-07-29 07:30:00,SCT5,Starboard,2020-07-30 12:00:00,"Le Havre, France",N30/N30,2020-07-15 00:00:00,1973,CMA CGM ZHENG HE - N30/N30
CMA CGM ZHENG HE,NEU4E,ARRIVED,2020-07-29 06:47:00,SCT5,Starboard,2020-07-30 17:30:00,"Le Havre, France",N30/N30,2020-07-30 00:00:00,4464,CMA CGM ZHENG HE - N30/N30
CMA CGM ZHENG HE,NEU4E,INBOUND,2020-10-21 16:00:00,SCT5,Starboard,2020-10-22 19:00:00,"Le Havre, France",N42/N42,2020-10-10 00:00:00,1504,CMA CGM ZHENG HE - N42/N42
CMA CGM ZHENG HE,NEU4E,ARRIVED,2020-10-22 12:05:00,SCT3,Starboard,2020-10-24 15:30:00,"Le Havre, France",N42/N42,2020-10-25 00:00:00,4036,CMA CGM ZHENG HE - N42/N42
CONMAR GULF,ADHOC,INBOUND,2020-08-13 07:00:00,SCT4,Starboard,2020-08-14 07:00:00,"Liverpool, United Kingdom",X27/X27,2020-08-10 00:00:00,1283,CONMAR GULF - X27/X27
CONMAR GULF,ADHOC,ARRIVED,2020-08-14 06:00:00,SCT4,Starboard,2020-08-14 18:00:00,"Liverpool, United Kingdom",X27/X27,2020-08-15 00:00:00,2087,CONMAR GULF - X27/X27
CONSTANTIA,AL2,INBOUND,2021-06-04 16:00:00,SCT3,Starboard,2021-06-05 07:30:00,"Rotterdam, Netherlands",O22/O22,2021-05-25 00:00:00,3555,CONSTANTIA - O22/O22
CONSTANTIA,AL2,ARRIVED,2021-06-04 06:30:00,SCT2,Starboard,2021-06-04 22:10:00,"Rotterdam, Netherlands",O22/O22,2021-06-05 00:00:00,339,CONSTANTIA - O22/O22
CONTI CORTESIA,IPAK,INBOUND,2021-06-07 19:30:00,SCT2,Starboard,2021-06-08 07:30:00,"Rotterdam, Netherlands",R23/S23,2021-05-25 00:00:00,3564,CONTI CORTESIA - R23/S23
CONTI CORTESIA,IPAK,ARRIVED,2021-06-11 12:50:00,SCT3,Starboard,2021-06-11 20:55:00,"Rotterdam, Netherlands",R23/S23,2021-06-15 00:00:00,1927,CONTI CORTESIA - R23/S23
COSCO INDONESIA,ADHOC,INBOUND,2021-05-16 19:30:00,SCT3,Starboard,2021-05-17 15:00:00,"OPTIONAL,",X12/X12,2021-05-15 00:00:00,1839,COSCO INDONESIA - X12/X12
COSCO INDONESIA,ADHOC,ARRIVED,2021-05-17 02:52:00,SCT3,Starboard,2021-05-17 16:20:00,"OPTIONAL,",X12/X12,2021-05-20 00:00:00,2714,COSCO INDONESIA - X12/X12
COSCO JAPAN,EPIC,INBOUND,2021-06-08 13:00:00,SCT3,Starboard,2021-06-09 07:30:00,"Bremerhaven, Germany",J17/J17,2021-05-30 00:00:00,4385,COSCO JAPAN - J17/J17
COSCO JAPAN,EPIC,ARRIVED,2021-06-10 15:10:00,SCT2,Starboard,2021-06-11 13:22:00,"Bremerhaven, Germany",J17/J17,2021-06-15 00:00:00,1924,COSCO JAPAN - J17/J17
COSCO JAPAN,EPIC,INBOUND,2021-08-03 13:00:00,SCT3,Starboard,2021-08-04 07:30:00,"Bremerhaven, Germany",J25/J25,2021-07-20 00:00:00,2897,COSCO JAPAN - J25/J25
COSCO JAPAN,EPIC,ARRIVED,2021-08-04 18:00:00,SCT3,Starboard,2021-08-05 07:30:00,"Bremerhaven, Germany",J25/J25,2021-08-05 00:00:00,519,COSCO JAPAN - J25/J25
COSCO PHILIPPINES,ATA,INBOUND,2021-02-06 07:30:00,SCT3,Starboard,2021-02-06 23:00:00,"Antwerpen, Belgium",T03/U03,2021-01-25 00:00:00,3343,COSCO PHILIPPINES - T03/U03
COSCO PHILIPPINES,ATA,ARRIVED,2021-02-08 14:40:00,SCT3,Starboard,2021-02-09 03:10:00,"Antwerpen, Belgium",T03/U03,2021-02-10 00:00:00,921,COSCO PHILIPPINES - T03/U03
COSCO PHILIPPINES,ATA,INBOUND,2021-02-15 07:30:00,SCT3,Starboard,2021-02-15 19:30:00,"Antwerpen, Belgium",T08/U08,2021-02-10 00:00:00,939,COSCO PHILIPPINES - T08/U08
COSCO PHILIPPINES,ATA,ARRIVED,2021-03-29 01:00:00,SCT3,Starboard,2021-03-29 21:25:00,"Antwerpen, Belgium",T08/U08,2021-03-31 00:00:00,4977,COSCO PHILIPPINES - T08/U08
COSCO PHILIPPINES,ATA,INBOUND,2021-04-27 07:30:00,SCT3,Starboard,2021-04-28 04:00:00,"Antwerpen, Belgium",T12/U12,2021-04-15 00:00:00,1800,COSCO PHILIPPINES - T12/U12
COSCO PHILIPPINES,ATA,ARRIVED,2021-05-11 21:06:00,SCT3,Portside,2021-05-13 03:21:00,"Antwerpen, Belgium",T12/U12,2021-05-15 00:00:00,1840,COSCO PHILIPPINES - T12/U12
COSCO PHILIPPINES,ATA,INBOUND,2021-06-04 11:59:00,SCT2,Starboard,2021-06-05 07:30:00,"Antwerpen, Belgium",T17/U17,2021-05-25 00:00:00,3559,COSCO PHILIPPINES - T17/U17
COSCO PHILIPPINES,ATA,ARRIVED,2021-06-09 19:00:00,SCT2,Starboard,2021-06-10 19:30:00,"Antwerpen, Belgium",T17/U17,2021-06-10 00:00:00,1165,COSCO PHILIPPINES - T17/U17
COSCO PHILIPPINES,ATA,INBOUND,2021-08-21 07:30:00,SCT2,Starboard,2021-08-21 19:30:00,"Antwerpen, Belgium",T27/U27,2021-08-10 00:00:00,1325,COSCO PHILIPPINES - T27/U27
COSCO PHILIPPINES,ATA,ARRIVED,2021-08-27 02:30:00,SCT2,Starboard,2021-08-27 19:06:00,"Antwerpen, Belgium",T27/U27,2021-08-30 00:00:00,4639,COSCO PHILIPPINES - T27/U27
COSCO PHILIPPINES,ATA,INBOUND,2020-08-01 07:30:00,SCT2,Starboard,2020-08-01 23:00:00,"Antwerpen, Belgium",T29/U29,2020-07-20 00:00:00,2848,COSCO PHILIPPINES - T29/U29
COSCO PHILIPPINES,ATA,ARRIVED,2020-08-01 05:03:00,SCT3,Starboard,2020-08-02 01:25:00,"Antwerpen, Belgium",T29/U29,2020-08-05 00:00:00,449,COSCO PHILIPPINES - T29/U29
COSCO PHILIPPINES,ATA,INBOUND,2020-09-05 07:30:00,SCT3,Starboard,2020-09-05 23:00:00,"Antwerpen, Belgium",T34/U34,2020-08-25 00:00:00,3827,COSCO PHILIPPINES - T34/U34
COSCO PHILIPPINES,ATA,ARRIVED,2020-09-05 05:45:00,SCT3,Starboard,2020-09-05 19:30:00,"Antwerpen, Belgium",T34/U34,2020-09-05 00:00:00,534,COSCO PHILIPPINES - T34/U34
COSCO PHILIPPINES,ATA,INBOUND,2020-10-10 07:30:00,SCT2,Starboard,2020-10-10 23:00:00,"Antwerpen, Belgium",T39/U39,2020-09-25 00:00:00,3950,COSCO PHILIPPINES - T39/U39
COSCO PHILIPPINES,ATA,ARRIVED,2020-10-09 22:22:00,SCT3,Starboard,2020-10-10 19:30:00,"Antwerpen, Belgium",T39/U39,2020-10-10 00:00:00,1473,COSCO PHILIPPINES - T39/U39
COSCO PHILIPPINES,ATA,INBOUND,2020-12-19 07:30:00,SCT3,Starboard,2020-12-19 23:00:00,"Antwerpen, Belgium",T49/U49,2020-11-15 00:00:00,2379,COSCO PHILIPPINES - T49/U49
COSCO PHILIPPINES,ATA,ARRIVED,2020-12-27 16:00:00,SCT3,Starboard,2020-12-28 14:44:00,"Antwerpen, Belgium",T49/U49,2020-12-30 00:00:00,4920,COSCO PHILIPPINES - T49/U49
COSCO VIETNAM,ATA,INBOUND,2021-01-30 19:30:00,SCT3,Starboard,2021-01-31 07:30:00,"Antwerpen, Belgium",T01/U01,2021-01-20 00:00:00,2491,COSCO VIETNAM - T01/U01
COSCO VIETNAM,ATA,ARRIVED,2021-01-30 07:30:00,SCT3,Starboard,2021-01-31 19:30:00,"Antwerpen, Belgium",T01/U01,2021-01-30 00:00:00,4225,COSCO VIETNAM - T01/U01
COSCO VIETNAM,ATA,INBOUND,2020-07-18 07:30:00,SCT2,Starboard,2020-07-18 23:00:00,"Antwerpen, Belgium",T27/U27,2020-07-10 00:00:00,1198,COSCO VIETNAM - T27/U27
COSCO VIETNAM,ATA,ARRIVED,2020-07-18 05:30:00,SCT2,Starboard,2020-07-19 00:10:00,"Antwerpen, Belgium",T27/U27,2020-07-20 00:00:00,2836,COSCO VIETNAM - T27/U27
COSCO VIETNAM,ATA,INBOUND,2020-08-22 07:30:00,SCT2,Starboard,2020-08-22 23:00:00,"Antwerpen, Belgium",T32/U32,2020-08-10 00:00:00,1316,COSCO VIETNAM - T32/U32
COSCO VIETNAM,ATA,ARRIVED,2020-08-22 07:30:00,SCT3,Starboard,2020-08-22 23:02:00,"Antwerpen, Belgium",T32/U32,2020-08-25 00:00:00,3804,COSCO VIETNAM - T32/U32
COSCO VIETNAM,ATA,INBOUND,2020-09-26 07:30:00,SCT3,Starboard,2020-09-26 23:00:00,"Antwerpen, Belgium",T37/U37,2020-09-15 00:00:00,2172,COSCO VIETNAM - T37/U37
COSCO VIETNAM,ATA,ARRIVED,2020-09-26 08:10:00,SCT3,Starboard,2020-09-27 15:17:00,"Antwerpen, Belgium",T37/U37,2020-09-30 00:00:00,4706,COSCO VIETNAM - T37/U37
COSCO VIETNAM,ATA,INBOUND,2020-10-31 07:30:00,SCT2,Starboard,2020-10-31 23:00:00,"Antwerpen, Belgium",T42/U42,2020-10-15 00:00:00,2284,COSCO VIETNAM - T42/U42
COSCO VIETNAM,ATA,ARRIVED,2020-11-07 01:06:00,SCT3,Starboard,2020-11-07 16:21:00,"Antwerpen, Belgium",T42/U42,2020-11-10 00:00:00,1533,COSCO VIETNAM - T42/U42
COSCO VIETNAM,ATA,INBOUND,2020-12-05 07:30:00,SCT3,Starboard,2020-12-05 23:00:00,"Antwerpen, Belgium",T47/U47,2020-11-15 00:00:00,2400,COSCO VIETNAM - T47/U47
COSCO VIETNAM,ATA,ARRIVED,2020-12-13 16:22:00,SCT3,Starboard,2020-12-14 13:55:00,"Antwerpen, Belgium",T47/U47,2020-12-15 00:00:00,2473,COSCO VIETNAM - T47/U47
CSL MANHATTAN,FE4,INBOUND,2021-02-14 11:59:00,SCT5,Starboard,2021-02-15 19:30:00,"Hamburg, Germany",E04/F04,2021-01-30 00:00:00,4245,CSL MANHATTAN - E04/F04
CSL MANHATTAN,FE4,ARRIVED,2021-02-26 07:30:00,SCT5,Starboard,2021-02-27 11:00:00,"Hamburg, Germany",E04/F04,2021-02-28 00:00:00,4208,CSL MANHATTAN - E04/F04
E.R.LOS ANGELES,EPIC,INBOUND,2021-03-30 15:00:00,SCT2,Starboard,2021-03-31 07:00:00,"Bremerhaven, Germany",J07/J07,2021-03-15 00:00:00,1742,E.R.LOS ANGELES - J07/J07
E.R.LOS ANGELES,EPIC,ARRIVED,2021-04-10 16:50:00,SCT3,Starboard,2021-04-11 22:17:00,"Bremerhaven, Germany",J07/J07,2021-04-15 00:00:00,1823,E.R.LOS ANGELES - J07/J07
ELBSKY,ADHOC,INBOUND,2021-08-22 10:00:00,SCT2,Starboard,2021-08-22 19:30:00,"OPTIONAL,",X29/X29,2021-08-20 00:00:00,2987,ELBSKY - X29/X29
ELBSKY,ADHOC,ARRIVED,2021-08-22 11:30:00,SCT3,Starboard,2021-08-22 18:20:00,"OPTIONAL,",X29/X29,2021-08-25 00:00:00,3838,ELBSKY - X29/X29
ESPOIR,ADHOC,INBOUND,2021-01-25 23:59:00,SCT1,Starboard,2021-01-27 07:00:00,"OPTIONAL,",X04/X04,2021-01-25 00:00:00,3322,ESPOIR - X04/X04
ESPOIR,ADHOC,ARRIVED,2021-01-25 17:00:00,SCT1,Starboard,2021-01-26 10:25:00,"OPTIONAL,",X04/X04,2021-01-30 00:00:00,4277,ESPOIR - X04/X04
ESSENCE,ADHOC,INBOUND,2020-09-20 07:30:00,SCT3,Starboard,2020-09-20 19:30:00,"Zeebrugge, Belgium",X36/X36,2020-09-20 00:00:00,3074,ESSENCE - X36/X36
ESSENCE,ADHOC,ARRIVED,2020-09-20 08:38:00,SCT3,Starboard,2020-09-20 21:00:00,"Zeebrugge, Belgium",X36/X36,2020-09-25 00:00:00,3927,ESSENCE - X36/X36
EVER LASTING,ATA,INBOUND,2021-05-08 11:59:00,SCT3,Starboard,2021-05-09 04:00:00,"Antwerpen, Belgium",T14/U14,2021-04-25 00:00:00,3536,EVER LASTING - T14/U14
EVER LASTING,ATA,ARRIVED,2021-05-08 10:26:00,SCT3,Starboard,2021-05-09 02:05:00,"Antwerpen, Belgium",T14/U14,2021-05-10 00:00:00,1123,EVER LASTING - T14/U14
EVER LASTING,ATA,INBOUND,2021-06-09 19:30:00,SCT3,Starboard,2021-06-10 07:30:00,"Antwerpen, Belgium",T19/U19,2021-05-30 00:00:00,4401,EVER LASTING - T19/U19
EVER LASTING,ATA,ARRIVED,2021-06-18 12:19:00,SCT3,Starboard,2021-06-19 03:00:00,"Antwerpen, Belgium",T19/U19,2021-06-20 00:00:00,2782,EVER LASTING - T19/U19
EVER LASTING,ATA,INBOUND,2021-08-28 07:30:00,SCT2,Starboard,2021-08-28 19:30:00,"Antwerpen, Belgium",T29/U29,2021-08-15 00:00:00,2140,EVER LASTING - T29/U29
EVER LASTING,ATA,ARRIVED,2021-09-08 19:44:00,SCT5,Starboard,2021-09-09 07:51:00,"Antwerpen, Belgium",T29/U29,2021-09-10 00:00:00,1457,EVER LASTING - T29/U29
EVER LASTING,ATA,INBOUND,2020-08-08 07:30:00,SCT2,Starboard,2020-08-08 23:00:00,"Antwerpen, Belgium",T30/U30,2020-07-25 00:00:00,3688,EVER LASTING - T30/U30
EVER LASTING,ATA,ARRIVED,2020-08-07 12:39:00,SCT2,Starboard,2020-08-08 08:30:00,"Antwerpen, Belgium",T30/U30,2020-08-10 00:00:00,1302,EVER LASTING - T30/U30
EVER LASTING,ATA,INBOUND,2020-09-12 07:31:00,SCT3,Starboard,2020-09-12 23:00:00,"Antwerpen, Belgium",T35/U35,2020-08-30 00:00:00,4581,EVER LASTING - T35/U35
EVER LASTING,ATA,ARRIVED,2020-09-12 11:00:00,SCT3,Starboard,2020-09-12 23:55:00,"Antwerpen, Belgium",T35/U35,2020-09-15 00:00:00,2196,EVER LASTING - T35/U35
EVER LASTING,ATA,INBOUND,2020-10-17 07:30:00,SCT3,Starboard,2020-10-17 23:00:00,"Antwerpen, Belgium",T40/U40,2020-10-05 00:00:00,672,EVER LASTING - T40/U40
EVER LASTING,ATA,ARRIVED,2020-10-17 06:30:00,SCT2,Starboard,2020-10-18 04:00:00,"Antwerpen, Belgium",T40/U40,2020-10-20 00:00:00,3170,EVER LASTING - T40/U40
EVER LASTING,ATA,INBOUND,2020-11-24 07:30:00,SCT2,Starboard,2020-11-24 23:00:00,"Antwerpen, Belgium",T45/U45,2020-11-10 00:00:00,1548,EVER LASTING - T45/U45
EVER LASTING,ATA,ARRIVED,2020-11-26 17:00:00,SCT3,Starboard,2020-11-28 09:00:00,"Antwerpen, Belgium",T45/U45,2020-11-30 00:00:00,4871,EVER LASTING - T45/U45
EVER LASTING,ATA,INBOUND,2020-12-26 07:30:00,SCT3,Starboard,2020-12-26 23:00:00,"Antwerpen, Belgium",T50/U50,2020-11-15 00:00:00,2368,EVER LASTING - T50/U50
EVER LASTING,ATA,ARRIVED,2021-01-12 21:05:00,SCT3,Starboard,2021-01-14 14:30:00,"Antwerpen, Belgium",T50/U50,2021-01-15 00:00:00,1657,EVER LASTING - T50/U50
EXPRESS BERLIN,FE4,INBOUND,2020-10-10 19:30:00,SCT2,Starboard,2020-10-11 19:30:00,"Hamburg, Germany",E24/F24,2020-09-25 00:00:00,3951,EXPRESS BERLIN - E24/F24
EXPRESS BERLIN,FE4,ARRIVED,2020-10-20 14:30:00,SCT2,Starboard,2020-10-22 07:01:00,"Hamburg, Germany",E24/F24,2020-10-25 00:00:00,4052,EXPRESS BERLIN - E24/F24
GERHARD SCHULTE,GEX2,INBOUND,2020-09-29 07:00:00,SCT3,Starboard,2020-09-29 19:00:00,"Antwerpen, Belgium",V37/W37,2020-09-20 00:00:00,3060,GERHARD SCHULTE - V37/W37
GERHARD SCHULTE,GEX2,ARRIVED,2020-09-29 21:46:00,SCT3,Portside,2020-09-30 19:30:00,"Antwerpen, Belgium",V37/W37,2020-09-30 00:00:00,4690,GERHARD SCHULTE - V37/W37
GERHARD SCHULTE,GEX2,INBOUND,2020-10-27 07:00:00,SCT3,Starboard,2020-10-27 19:00:00,"Antwerpen, Belgium",V41/W41,2020-10-15 00:00:00,2274,GERHARD SCHULTE - V41/W41
GERHARD SCHULTE,GEX2,ARRIVED,2020-10-27 11:58:00,SCT3,Starboard,2020-10-28 01:25:00,"Antwerpen, Belgium",V41/W41,2020-10-30 00:00:00,4812,GERHARD SCHULTE - V41/W41
GERHARD SCHULTE,ADHOC,INBOUND,2020-12-09 07:30:00,SCT2,Starboard,2020-12-10 07:30:00,"OPTIONAL,",X50/X50,2020-11-25 00:00:00,4096,GERHARD SCHULTE - X50/X50
GERHARD SCHULTE,ADHOC,ARRIVED,2020-12-08 16:00:00,SCT3,Starboard,2020-12-10 19:30:00,"Piraeus, Greece",X50/X50,2020-12-10 00:00:00,1575,GERHARD SCHULTE - X50/X50
GREETJE,ISX4,INBOUND,2020-07-07 19:30:00,SCT3,Starboard,2020-07-08 07:30:00,"Cork, Ireland",27C/27C,2020-07-04 00:00:00,6,GREETJE - 27C/27C
GREETJE,ISX4,ARRIVED,2020-07-07 19:42:00,SCT3,Starboard,2020-07-08 06:30:00,"Cork, Ireland",27C/27C,2020-07-10 00:00:00,1215,GREETJE - 27C/27C
GREETJE,ISX4,INBOUND,2020-07-14 14:00:00,SCT3,Starboard,2020-07-15 07:30:00,"Cork, Ireland",28C/28C,2020-07-04 00:00:00,18,GREETJE - 28C/28C
GREETJE,ISX4,ARRIVED,2020-07-15 22:28:00,SCT4,Starboard,2020-07-16 07:15:00,"Cork, Ireland",28C/28C,2020-07-20 00:00:00,2870,GREETJE - 28C/28C
GREETJE,ISX3A,INBOUND,2020-09-21 19:30:00,SCT4,Starboard,2020-09-22 07:30:00,"Belfast, United Kingdom",29A/29A,2020-09-20 00:00:00,3093,GREETJE - 29A/29A
GREETJE,ISX3A,ARRIVED,2020-09-21 15:39:00,SCT4,Starboard,2020-09-22 07:38:00,"Belfast, United Kingdom",29A/29A,2020-09-25 00:00:00,3930,GREETJE - 29A/29A
GREETJE,ISX4,INBOUND,2020-07-21 22:00:00,SCT3,Starboard,2020-07-23 07:30:00,"Cork, Ireland",29C/29C,2020-07-10 00:00:00,1217,GREETJE - 29C/29C
GREETJE,ISX4,ARRIVED,2020-07-21 19:06:00,SCT4,Starboard,2020-07-22 10:02:00,"Cork, Ireland",29C/29C,2020-07-25 00:00:00,3670,GREETJE - 29C/29C
GREETJE,ISX3A,INBOUND,2020-10-02 07:30:00,SCT4,Starboard,2020-10-03 07:30:00,"Belfast, United Kingdom",30A/30A,2020-09-20 00:00:00,3047,GREETJE - 30A/30A
GREETJE,ISX3A,ARRIVED,2020-10-03 15:20:00,SCT2,Starboard,2020-10-04 04:30:00,"Belfast, United Kingdom",30A/30A,2020-10-05 00:00:00,650,GREETJE - 30A/30A
GREETJE,ISX4,INBOUND,2020-07-28 19:30:00,SCT3,Starboard,2020-07-29 07:30:00,"Cork, Ireland",30C/30C,2020-07-15 00:00:00,1972,GREETJE - 30C/30C
GREETJE,ISX4,ARRIVED,2020-07-28 06:45:00,SCT2,Starboard,2020-07-29 01:30:00,"Cork, Ireland",30C/30C,2020-07-30 00:00:00,4479,GREETJE - 30C/30C
GREETJE,ISX3A,INBOUND,2020-10-08 19:30:00,SCT4,Starboard,2020-10-09 19:30:00,"Belfast, United Kingdom",31A/31A,2020-09-25 00:00:00,3949,GREETJE - 31A/31A
GREETJE,ISX3A,ARRIVED,2020-10-11 12:45:00,SCT4,Starboard,2020-10-12 00:05:00,"Belfast, United Kingdom",31A/31A,2020-10-15 00:00:00,2297,GREETJE - 31A/31A
GREETJE,ISX4,INBOUND,2020-08-04 19:30:00,SCT4,Starboard,2020-08-05 07:30:00,"Cork, Ireland",31C/31C,2020-07-25 00:00:00,3681,GREETJE - 31C/31C
GREETJE,ISX4,ARRIVED,2020-08-05 03:30:00,SCT3,Starboard,2020-08-05 19:30:00,"Cork, Ireland",31C/31C,2020-08-05 00:00:00,453,GREETJE - 31C/31C
GREETJE,ISX3A,INBOUND,2020-10-17 07:30:00,SCT4,Starboard,2020-10-17 19:30:00,"Belfast, United Kingdom",32A/32A,2020-10-05 00:00:00,671,GREETJE - 32A/32A
GREETJE,ISX3A,ARRIVED,2020-10-19 05:05:00,SCT3,Starboard,2020-10-19 16:50:00,"Belfast, United Kingdom",32A/32A,2020-10-20 00:00:00,3163,GREETJE - 32A/32A
GREETJE,ISX4,INBOUND,2020-08-11 19:30:00,SCT4,Starboard,2020-08-12 07:30:00,"Cork, Ireland",32C/32C,2020-07-25 00:00:00,3696,GREETJE - 32C/32C
GREETJE,ISX4,ARRIVED,2020-08-12 01:47:00,SCT4,Starboard,2020-08-12 11:42:00,"Cork, Ireland",32C/32C,2020-08-15 00:00:00,2075,GREETJE - 32C/32C
GREETJE,ISX3A,INBOUND,2020-10-24 19:30:00,SCT3,Starboard,2020-10-25 19:30:00,"Belfast, United Kingdom",33A/33A,2020-10-15 00:00:00,2267,GREETJE - 33A/33A
GREETJE,ISX3A,ARRIVED,2020-11-01 01:36:00,SCT4,Starboard,2020-11-01 19:30:00,"Belfast, United Kingdom",33A/33A,2020-11-05 00:00:00,774,GREETJE - 33A/33A
GREETJE,ISX4,INBOUND,2020-08-18 19:00:00,SCT3,Starboard,2020-08-19 07:00:00,"Cork, Ireland",33C/33C,2020-08-15 00:00:00,2097,GREETJE - 33C/33C
GREETJE,ISX4,ARRIVED,2020-08-19 21:20:00,SCT4,Starboard,2020-08-20 09:20:00,"Cork, Ireland",33C/33C,2020-08-20 00:00:00,2973,GREETJE - 33C/33C
GREETJE,ISX3A,INBOUND,2020-10-31 07:30:00,SCT4,Starboard,2020-11-01 07:30:00,"Belfast, United Kingdom",34A/34A,2020-10-15 00:00:00,2285,GREETJE - 34A/34A
GREETJE,ISX3A,ARRIVED,2020-11-09 15:00:00,SCT1,Starboard,2020-11-10 14:00:00,"Belfast, United Kingdom",34A/34A,2020-11-10 00:00:00,1529,GREETJE - 34A/34A
GREETJE,ISX4,INBOUND,2020-08-25 19:00:00,SCT3,Starboard,2020-08-26 07:00:00,"Cork, Ireland",34C/34C,2020-08-15 00:00:00,2054,GREETJE - 34C/34C
GREETJE,ISX4,ARRIVED,2020-08-28 05:25:00,SCT3,Starboard,2020-08-28 18:00:00,"Cork, Ireland",34C/34C,2020-08-30 00:00:00,4621,GREETJE - 34C/34C
GREETJE,ISX3A,INBOUND,2020-11-08 19:30:00,SCT4,Starboard,2020-11-09 19:30:00,"Belfast, United Kingdom",35A/35A,2020-10-25 00:00:00,4054,GREETJE - 35A/35A
GREETJE,ISX3A,ARRIVED,2020-11-17 23:45:00,SCT4,Starboard,2020-11-19 07:30:00,"Belfast, United Kingdom",35A/35A,2020-11-20 00:00:00,3235,GREETJE - 35A/35A
GREETJE,ISX4,INBOUND,2020-09-02 07:00:00,SCT4,Starboard,2020-09-03 07:00:00,"Cork, Ireland",35C/35C,2020-08-25 00:00:00,3835,GREETJE - 35C/35C
GREETJE,ISX4,ARRIVED,2020-09-04 07:30:00,SCT1,Starboard,2020-09-04 16:20:00,"Cork, Ireland",35C/35C,2020-09-05 00:00:00,546,GREETJE - 35C/35C
GREETJE,ISX3A,INBOUND,2020-11-23 07:30:00,SCT4,Starboard,2020-11-24 07:30:00,"Belfast, United Kingdom",36A/36A,2020-11-10 00:00:00,1552,GREETJE - 36A/36A
GREETJE,ISX3A,ARRIVED,2020-11-27 07:37:00,SCT4,Starboard,2020-11-27 15:45:00,"Belfast, United Kingdom",36A/36A,2020-11-30 00:00:00,4878,GREETJE - 36A/36A
GREETJE,ISX5,INBOUND,2020-09-09 07:30:00,SCT4,Starboard,2020-09-10 07:30:00,"Dublin, Ireland",38D/38D,2020-08-30 00:00:00,4609,GREETJE - 38D/38D
GREETJE,ISX5,ARRIVED,2020-09-10 07:05:00,SCT4,Starboard,2020-09-11 07:00:00,"Dublin, Ireland",38D/38D,2020-09-10 00:00:00,1412,GREETJE - 38D/38D
GREETJE,ISX5,INBOUND,2020-09-14 07:30:00,SCT4,Starboard,2020-09-15 07:30:00,"Dublin, Ireland",39D/39D,2020-08-30 00:00:00,4591,GREETJE - 39D/39D
GREETJE,ISX5,ARRIVED,2020-09-15 08:10:00,SCT4,Starboard,2020-09-16 19:30:00,"Dublin, Ireland",39D/39D,2020-09-15 00:00:00,2203,GREETJE - 39D/39D
HARTLAND POINT,ADHOC,INBOUND,2021-03-11 07:30:00,SCT4,Starboard,2021-03-11 19:30:00,"OPTIONAL,",X07/X07,2021-03-10 00:00:00,1002,HARTLAND POINT - X07/X07
HARTLAND POINT,ADHOC,ARRIVED,2021-03-25 04:00:00,SCT4,Starboard,2021-03-25 06:00:00,"OPTIONAL,",X07/X07,2021-03-25 00:00:00,3420,HARTLAND POINT - X07/X07
HARTLAND POINT,ADHOC,INBOUND,2021-05-20 07:30:00,SCT1,Starboard,2021-05-20 19:30:00,"OPTIONAL,",X13/X13,2021-05-15 00:00:00,1881,HARTLAND POINT - X13/X13
HARTLAND POINT,ADHOC,ARRIVED,2021-05-24 12:00:00,SCT1,Starboard,2021-05-24 14:15:00,"OPTIONAL,",X13/X13,2021-05-25 00:00:00,3590,HARTLAND POINT - X13/X13
